"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrez_id"
"Acsl4",16.6096965629922,-0.263070441595351,3.50360786983816,1.3671818420257e-05,4.70154281798093e-05,50790
"Acsl5",25.8969532923799,-0.67840280582506,3.45446525252666,0.0428901737005773,0.064150000636446,433256
"Acss1",21.3834471413341,4.12795894530007,1.68807942251016,6.78387323554235e-05,0.000201005975702517,68738
"Acss2",5.39351765365093,-0.170914344486405,3.59945510798096,NA,NA,60525
"Acta2",6.81245642275686,-0.078263374641383,3.6266425219191,0.819235893292803,0.853198688413866,11475
"Actb",12337.1303825325,2.47670161838553,0.270454529917852,2.55584352039529e-42,2.02132513477188e-40,11461
"Actg1",249.903154698811,0.938154267052333,0.41328926787143,4.61933995315076e-06,1.74581072211704e-05,11465
"Actl6a",14.0357397673866,-0.436774460334246,3.52496672256303,0.0006963631410991,0.00164225529216174,56456
"Actn1",1.47846952764797,1.77577845113007,2.06053564269556,NA,NA,109711
"Actn4",28.7726259514451,-0.241221069869888,3.54083371748996,0.453898466039548,0.514086558247762,60595
"Actr10",20.3290888169383,0.911734391819906,1.50553578784925,0.111817169952749,0.15054661427434,56444
"Actr1a",31.2524704880053,-0.433585302182315,3.52727681511877,0.31252002649823,0.370319919578389,54130
"Actr1b",11.7373733230798,-0.117749963963799,3.60089889647065,0.026190173029376,0.0415385611354747,226977
"Actr2",419.239743143474,3.7201241878907,0.434922705032973,9.73174386777242e-50,1.29878231701979e-47,66713
"Actr3",375.865210407097,0.563909276743576,0.485971053305119,0.0867069583902393,0.120226141871834,74117
"Actr3-ps",22.8117305707398,-10.6651522243881,3.67439437942033,0.319958042990469,0.378094673196263,NA
"Actr5",4.44484942441144,-0.0853459544473522,3.61825563078595,0.0300286148643928,0.0469866406500489,109275
"Actr6",18.0996597316925,-0.22618859858941,3.59046020607087,7.23796593635265e-11,5.99049222070737e-10,67019
"Actr8",15.0238482991472,-0.167863213585939,3.60129042291765,0.258259363700991,0.313335129520558,56249
"Acvr1b",4.25863749164763,-0.111284593828603,3.58422991085803,NA,NA,11479
"Acvr2a",6.22122976803442,-0.0426943948692825,3.64571442488494,NA,NA,11480
"Acvrl1",7.44395863765141,-0.050511733000726,3.64283331380661,0.588306607391437,0.64180724232792,11482
"Acyp1",2.74378998538359,5.53634799183742,1.42936870313036,2.82031388863029e-06,1.11593148675513e-05,66204
"Adal",5.94701644790403,-0.0151395562975574,3.65905518143451,NA,NA,75894
"Adam10",188.02288545853,-0.869144877021503,3.47559342377131,7.58046223002523e-07,3.29223329122316e-06,11487
"Adam15",27.5930963852743,0.660099477032992,1.15663744253475,0.410019292343667,0.471051575816631,11490
"Adam17",41.8525588631138,-0.0691977871303267,1.50004856031114,0.00115851800888145,0.00260310991402825,11491
"Adam19",7.36662975515557,5.27247361563234,2.48981406051418,NA,NA,11492
"Adam8",39.382500028583,5.30918347058444,1.66452874378266,0.00996042450384665,0.0176777919069928,11501
"Adam9",15.6976218179817,-0.133869886927754,3.59853191278367,0.524948191360301,0.582709775403584,11502
"Adamts10",7.06101799856344,4.61357994257971,2.70992759058109,NA,NA,224697
